book_id,page_id,header_id,header_text,hasRef
2,1,-1,"المملكة العربية السعودية

بسم الله الرحمن الرحيم
وزارة التعليم
جامعة الإمام محمد بن سعود الإسلامية
المعهد العالي للقضاء
قسم الفقه المقارن

النوازل في الرضاع

بحث تكميلي لنيل درجة الماجستير في الفقه المقارن

إعداد/
عبد الله بن يوسف بن عبد الله الأحمد

إشراف/
فضيلة الشيخ د. عبد العزيز بن عبد الله البخيت
الأستاذ المساعد في قسم الفقه المقارن بالمعهد العالي للقضاء

للعام الجامعي: ١٤٣٧ - ١٤٣٨ هـ",False
2,2,-1,"بسم الله الرحمن الرحيم
الحمد لله، وبعد.
فقد عُني الفقهاء منذ القدم بدراسة المسائل الفقهية النازلة والوقائع الحادثة وجعلها في مدونات ومصنفات مستقلة؛ الأمر الذي ترجموا فيه قول الله ﵎: ﴿اليَومَ أَكْمَلْتُ لَكُمْ دِينَكُمْ وَأتْمَمْتُ عَلَيْكُمْ نِعْمَتِي ورَضِيتُ لَكُمُ الإسْلَامَ دِينًا﴾ [سورة المائدة: ٣].
ذلك أن للنظر والاجتهاد في أحكام النوازل مقامًا ساميًا في الإسلام، وهو الميدان الفسيح الذي يستوعب ما جد من شؤون الحياة والأحياء، وتعرف من خلاله أحكام الشرع في الوقائع والمستجدات الدينية والدنيوية.
وقد أسهم مجتهدو الأمة على اختلاف مراتبهم في هذا المجال بأوفر نصيب، وبذلوا في النظر فيها الجهد العظيم؛ حتى لا تكاد تجد مجتهدًا مبرزًا إلا وله مصنف أو أكثر في النوازل والإفتاء، ومما طبع في ذلك: فتاوى ابن رشد (^١)، وفتاوى القفّال (^٢)، وفتاوى ابن زيد القيرواني (^٣)، وفتاوى البلقيني (^٤)، وفتاوى النووي (^٥)، وفتاوى البغوي (^٦)، وفتاوى العلائي (^٧)، ومجموع فتاوى ابن تيمية (^٨)، والدرر السنية في الأجوبة النجدية (^٩)، ومجموع فتاوى ابن باز (^١٠).
ولا غرابة في ذلك؛ إذ هو فرع - أي: الاجتهاد - من دوحة الشريعة الحنيفية، ولبنة هامة يؤسس عليها نظام التشريع الإسلامي، وتظهر بها صلاحيته المطلقة لكل زمان ومكان.
",True
2,3,1,"ولما كان من متطلبات نيل درجة الماجستير في قسم الفقه المقارن بالمعهد العالي للقضاء إعداد بحث تكميلي، وبعد البحث في احتياجات واقع المسلمين المعاصر وسؤال أهل العلم واستشارة ذوي الخبرة؛ وقع اختياري على موضوع (النوازل في الرضاع)؛ حيث كان شيخي د. عبد الله بن علي الركبان - حفظه الله - حين درسنا كتاب الرضاع في المستوى السابع من كلية الشريعة بالرياض يذكر بعض النوازل المتعلقة به، ومنذ ذلك الحين وأنا أقلب الموضوع في ذهني، وأجمع متفرقه، وألم شتاته؛ حتى استوت خطة هذا البحث وعناصره على سوقها.
وإن الحاجة إلى البحث في النوازل الواقعة أشد من حاجتنا للطعام والشراب؛ فبالطعام والشراب يستقيم أمر المعاش المادي في الدنيا، وبالحكم الشرعي يستقيم لنا أمر الدنيا والآخرة.
والوقائع التي تحدث في هذا الكون ليست على شاكلة واحدة؛ فمنها ما سبق وقوعه وسبق تبعًا لذلك البحث فيه، ومنها ما لم يقع من قبل ولم يسبق البحث فيه وهو ما يطلق عليه مصطلح النازلة، فهذه النازلة الجديدة غير المنصوص عليها تعتبر مشكلة تتطلب حلًّا، وحلها هو إحاطتها بالبحث وتحرير الحكم الشرعي اللازم لها.

-",False
2,3,2,"تبرز أهمية الموضوع في أمور كثيرة، أجملها فيما يأتي:
١ - كثرة النوازل المعاصرة المتزامنة مع التطور العالمي المتسارع.
٢ - شدة الحاجة إليها، على كافة الشرائح والأصعدة.
٣ - خطورة مسائله من حيث انتشار المحرمية بوسائله المعاصرة، والآثار المترتبة على ذلك.
٤ - البعد الاجتماعي والقضائي لموضوع الرضاع.",False
2,4,2,-,False
2,4,3,"دفعني إلى اختيار هذا الموضوع جملة من الأسباب، منها:
١ - أهمية الموضوع في حياتنا العملية المعاصرة.
٢ - حاجة المجتمع إلى بيان أحكامه الشرعية.
٣ - ظهور فتاوى على المستوى الفردي والجماعي غير محررة تحريرًا كافيًا، مع عدم الاستيفاء، من دون استحداث دراسات متخصصة شاملة.
٤ - كثرة الأسئلة من عموم الناس، وذلك ظاهر في البرامج المسموعة والمرئية، والفتاوى المطبوعة.
٥ - شرف علم الفقه، وأثر البحث في نوازله على تكوين الملكة الفقهية.
٦ - عدم وجود بحوث مختصة بموضوع البحث فيما أعلم.
٧ - مناسبة حجم كتاب الرضاع ونوازله للبحث التكميلي.
٨ - تفعيل التراث الإسلامي؛ بتخريج النوازل المعاصرة على نصوص الوحيين، وما يتوافر تبعًا لذلك من القواعد الأصولية والفقهية، ومقاصد الشريعة، وتحريرات الفقهاء.
٩ - إثراء المكتبة الفقهية بدراسة خاصة لهذا الموضوع.
١٠ - تفرق الفتاوى المتعلقة بهذا الموضوع، وعدم جمعها تحت مظلة واحدة؛ يتفيَّأ ظلالها الطالب المبتدي والسائل العامِّي والراغب المنتهي.
١١ - القيام بأمر الله، وبالأمانة المناطة بطلاب العلم، والاجتهاد للوصول إلى حكم الله.

-",False
2,4,4,"١ - جمع النوازل المتعلقة بباب الرضاع - بحثت أو لم تبحث-، ثم دراستها دراسة وافية؛ لبيان الحكم الشرعي الذي يُتعبد الله تعالى به.
٢ - توعية الناس بما ينبغي عليهم معرفته من الأحكام الشرعية المتعلقة بنوازل الرضاع.
٣ - بيان كمال الشريعة الإسلامية واستيعابها لجميع المستجدات على مرِّ العصور.
٤ - تنمية الباحث من الجانبين؛ المعرفي، والتطبيقي؛ فالتنمية المعرفية النظرية تكون في العناية بكتاب الرضاع، والتنمية التطبيقية العملية تكون بمعاناة النوازل المعاصرة.",False
2,5,4,-,False
2,5,5,"بعد البحث والنظر في قوائم الرسائل الجامعية ومحركات البحث الإلكترونية للمكتبات والجامعات المحليّة والعالمية وفهارسها؛ لم أجد بحثًا مختصًا في هذا الموضوع، وما وجدته على نوعين:
الأول: تطرق لموضوع البحث من دون أن يخصص له بحثه، وهذه الدراسات هي:
١ - نوازل فقهية في الحمل والرضاع في ضوء مقاصد الشريعة، للباحثة: منيرة بنت عبد الجبار شودري، وقد وقع في أربع صفحات وأربعمائة، مقدمة لنيل درجة الماجستير بقسم الدراسات الإسلامية بكلية الآداب في جامعة الدمام، عام ١٤٣٤ هـ.
وقد لحظت على الرسالة - في هذا الصّدد - ما يأتي:
أعدم تخصص الكلية المشرفة على الرسالة في الفقه وأصوله.
ب عدم تخصص البحث في بيان أحكام نوازل الرضاع بقدر ما كان يتناول مسائله بنظرة مقاصدية، وهذه الملحوظة نتيجة للملحوظة الأولى.
ج اقتصار نظرة الباحثة المقاصدية على مسألتين فقط من مسائل الرضاع، وهما: بنوك الحليب، وإرضاع الأم المصابة بالإيدز؛ في حين إن هذه الخطة زادت على هاتين المسألتين بما يربو على عشرين مسألة مفصلة في خطة البحث.
٢ - أحكام اللبن في الفقه الإسلامي، للباحث: صالح بن عبد الرحمن الخطيب، ويقع في تسع صفحات ومائتين، مقدمة لنيل درجة الماجستير بقسم الفقه المقارن بالمعهد العالي للقضاء، في العام الجامعي ١٤١٨/ ١٤١٩ هـ.
وقد لحظت على الرسالة ما يأتي:
أإن الباحث لم يخصص بحثه في كتاب الرضاع؛ حيث تناول أحكام اللبن في كتاب الطهارة، والبيوع، والإجارة، والربا، والسلم، والذبائح والأطعمة.
ب عدم تخصص البحث في الأحكام النازلة من الرضاع، وقد تناول المسائل النازلة التاليّة - وإن لم تكن خالصة من قدم الحدوث وتطرق الفقهاء -: صناعة اللبن واختلاطه بغيره، وعمله جبنًا أو أقطًا، وحقنه، ووصوله عن طريق الأنف أو الأذن. وقد زدت على هذه المسائل والمسائل الواردة في البحث الأول ثلاثًا وعشرين مسألة، وهي: مدرات الحليب، وموانعه، ومعالجته بالأشعة، وإرضاع المستأجر رحمها، والمصابة بالإيدز، وحليب الأنابيب،",False
2,6,-1,"وقارورة الرضاعة، وآلات امتصاص الحليب من الثدي، والاعتماد على قول الطبيب في استخدام الوسائل الحديثة، ومسؤولية الطبيب، وتحويل الحليب إلى مسحوق مجفف، والاتجار بالحليب، وما يلحق بالحليب ويقوم مقامه في انتشار المحرمية، ومالا يقوم مقامه، ورضاع الكبير للحاجة، والإذن في الرضاع، والرضى، والعلاقة بين طفلين رضعا من حليب مشترك، وأحكام علاقة الجنسين من المتراضعين، وتعارض حق المرتضع مع حق غيره، ووسائل إثبات الرضاع، وأثر التقادم عليها، والرجوع عن الإقرار، وتعارض البينات، وتوثيق حالات الرضاع في السجلات الرسمية لدى المحاكم.
النوع الثاني: خصص بحثه في جزئية أو نازلة من بين نوازل الرضاع، مثل:
١ - الرضاع المحرم وبنك اللبن في الشريعة الإسلامية، للباحث حسين عبد المجيد أبو العلا. ويقع في خمس وتسعين صفحةً، ونشر عام ١٤١٤ هـ.
وقد لحظت على الرسالة ما يأتي:
أقدمها، وبعدها في التصوير عن الواقع.
ب كونها غير محكمة.
ج عدم استيفاء المباحث.
٢ - بنوك لبن الرضاع بين الحل والحرمة، دراسة فقهية مقارنة، جمال مهدي محمود الأكشة. ويقع في تسع وثلاثين صفحة ومائتين، من نشر عام ١٤٣٢ هـ.
وقد لحظت على الرسالة ما يلي:
أكونها غير محكمة.
ب عدم استيفاء المباحث.
٣ - حكم الرضاع من اللبن الثائب من غير حمل في الفقه الإسلامي، للباحث: أ. د. خالد بن زيد الوذيناني. وذلك ضمن مجلة البحوث العلمية الفقهية، ع ٦٧، ص ١٨٢ - ٢٥٥، عام ١٤٢٦ هـ. وقد لحظت اقتصارها على مسألة واحدة في الجملة؛ أفردتها في المبحث الأول من الفصل الأول على هيأة مسائل؛ كرضاع البكر، والرجل، والخنثى، والآيس، ونحو ذلك.
٤ - الضوابط الفقهية في الرضاع، للباحث علي بن عبده الحكمي. وهو بحث في ست عشرة ورقة ومائتين، مقدم لنيل درجة لماجستير بالمعهد العالي للقضاء في جامعة الإمام بالرياض عام ١٤٣١ هـ.",False
