book_id,page_id,ref:,Ref_context
2,2,(^١),طبعته دار المغرب الإسلامي بتونس، عام ١٤٠٧ هـ.
2,2,(^٢),طبعته دار ابن القيم بالرياض، ودار ابن عفان بالقاهرة، عام ١٤٣٢ هـ.
2,2,(^٣),طبعته دار المغرب الإسلامي بتونس، عام ٢٠٠٤ م.
2,2,(^٤),طبعته دار ابن القيم بالرياض، ودار ابن عفان بالقاهرة، عام ١٤٣٦ هـ.
2,2,(^٥),طبعته دار ابن القيم بالرياض، ودار ابن عفان بالقاهرة، عام ١٤٣٥ هـ.
2,2,(^٦),طبعته دار النوادر بدمشق، عام ١٤٣١ هـ.
2,2,(^٧),طبعته دار المغرب الإسلامي بتونس، عام ٢٠٠٢ م.
2,2,(^٨),طبع عام ١٤٢٣ هـ.
2,2,(^٩),طبع عام ١٤٢٥ هـ.
2,2,(^١٠),طبعته الرئاسة العامة للبحوث العلمية والإفتاء، عام ١٤٣٣ هـ.
2,8,(^١),"قال الألباني: ومن الغرائب أن ابن الصلاح مع كونه أخطأ في تقوية حديث: (إذا جامع أحدكم امرأته أو جاريته؛ فلا ينظر إلى فرجها؛ فإن ذلك يورث العمى)، فإنهُ فيها مخالِفٌ لقاعدة له وضعها هو لم يسبق إليها، وهي أنه انقطع التصحيح في هذه الأعصار فليس لأحد أن يصحح!، كما ذكر ذلك في مقدمة علوم الحديث، بل الواجب عنده الاتباع لأئمة الحديث الذين سبقوا!؛ فما باله خالف هذا الأصل هنا، فصحح حديثًا يقول فيه الحافظان الجليلان أبو حاتم الرازي وابن حبان: إنه موضوع؟ ! ا. هـ
ينظر: ابن الصلاح: معرفة أنواع علوم الحديث (ص ١٦ - ١٧). الألباني: سلسلة الأحاديث الضعيفة والموضوعة (١/ ٣٥٣)، برقم (١٩٥)."
2,8,(^٢),الهيثمي: موارد الظمآن (ص ٢٨). وأما في مطلب الدلالة فيستفاد من غير الصحيح؛ من تبويباتهم، وألفاظ رواياتهم، وغيره.
2,9,(^١),ينظر: القرافي: الذخيرة (٤/ ٢٧٢). الحطاب: مواهب الجليل في شرح مختصر الشيخ خليل (٤/ ٥٧٥).
2,17,(^١),ينظر: الرازي: مختار الصحاح (ص ٣٧٣). ابن فارس: مقاييس اللغة (ص ٨٩٤). ابن منظور: لسان العرب (١٤/ ١٠٦). الفيومي: المصباح المنير (ص ٣٥٦).
2,17,(^٢),ينظر: د. مسفر القحطاني: منهج استنباط أحكام النوازل الفقهية المعاصرة دراسة تأصيلية تطبيقية (ص ٨٩ - ٩٠).
2,18,(^١),د. مسفر القحطاني: المصدر السابق، (ص ٩٠).
2,18,(^٢),ينظر: د. مسفر القحطاني: المصدر السابق، (ص ٩٢ - ٩٣).
2,18,(^٣),ينظر: ابن فارس: المصدر السابق، (ص ٣٣٧). ابن منظور: المصدر السابق، (٥/ ٢٢٣). الفيومي: المصدر السابق، (ص ١٣٩).
2,18,(^٤),"اسمه عبد الله، وهو من بني مرة بن صعصعة، من قيس عيلان، وبنو مرة يعرفون ببني سلول، وهي أمهم، شاعر إسلامي، عاش في صدر الدولة الأموية، وذكر ابن قتيبة أن له صحبة.
ينظر: محمد بن سلام الجمحي: طبقات فحول الشعراء (٢/ ٦٢٥ - ٦٣٧).
وكان يسمى العطار لحسن شعره، وكان في صدر الإسلام، وهو أحد فصحاء الكوفة المشهورين، وكان وجيها عند آل أبي سفيان مكينا عندهم وبلغ سنًّا عاليًا.
ينظر: ابن عساكر: تاريخ دمشق (٣٣/ ٣٥١)."
2,18,(^٥),"بيت من جملة أبيات قالها ابن الهمام للنعمان بن بشير أيام تقلده الكوفة. الأفاويق: ما اجتمع من اللبن في الضرع. والثُّعل: الزيادة في ضرع الشاة.
ينظر: المبرد: الكامل في اللغة والأدب (١/ ٥٠). أبو إبراهيم الفارابي: معجم ديوان الأدب (٢/ ١٧٠). ابن فارس: مقاييس اللغة (ص ٣٣٨). أبو الحسن المرسي: المخصص (١/ ٥١). ابن عساكر: المصدر السابق، (٣٣/ ٣٥١). أبو الحسن الأنصاري: الدرر والحواشي على الكامل (١/ ١٦٠)."
2,19,(^١),ينظر: الرازي: المصدر السابق، (ص ١٥١). ابن فارس: المصدر السابق، (ص ٨٩٤). ابن منظور: المصدر السابق، (٥/ ٢٢٣ - ٢٢٤). الفيومي: المصدر السابق، (ص ١٣٩ - ١٤٠).
2,19,(^٢),ابن عابدين: حاشية ابن عابدين (٤/ ٣٨٩ - ٣٩٣).
2,19,(^٣),الحطاب: المصدر السابق، (٤/ ٥٧٥).
2,19,(^٤),زكريا الأنصاري: فتح الوهاب بشرح منهج الطلاب (٢/ ١٣٦).
2,19,(^٥),ينظر: البهوتي: كشاف القناع عن الإقناع (١٣/ ٧٧).
